battery_id,run_id,seed,scenario,total_rounds,mission_end,arrival_delay,grid_sharing,grid_permanent,winner,score1,score2,score_gap,ice1_kg,ice2_kg,ap1,ap2,vio1,vio2,dep_blocked1,dep_blocked2,strand_risk1,strand_risk2,stranded1,stranded2,unpow_hab1,unpow_hab2,offers,joins,decouples,shared_days,contested_days,craters_depleted,duration_days,extracted_kg,extracted_pct,rovers1,rovers2,habitats1,habitats2,reactors1,reactors2,governance,strand_pen_days1,strand_pen_days2,rescues1,rescues2,strand_night,strand_far,strand_other,reserve1_kg,reserve2_kg
baseline,baseline_74,1593336568,standard,12,fixed,5,1,0,2,894.1,2047.7,-1153.6,309.1,114.7,45,127,6,0,0,0,0,4,0,1,0,0,1,1,0,52,0,0,84,503.8,1.54,2,2,1,1,0,0,,0,1,0,0,0,0,1,0.0,0.0
baseline,baseline_75,1593346541,standard,12,fixed,5,1,0,1,-490.0,-1365.4,875.4,230.0,139.6,199,203,156,188,0,0,19,24,1,1,10,0,4,4,3,64,1,0,84,839.6,2.56,3,3,1,1,0,0,,0,0,0,0,2,0,0,0.0,0.0
baseline,baseline_76,1593356514,standard,12,fixed,5,1,0,1,2045.7,1234.1,811.6,114.7,309.1,127,61,0,2,0,0,2,0,2,0,0,0,1,1,0,45,0,0,84,503.8,1.54,2,2,1,1,0,0,,2,0,0,0,0,0,2,0.0,0.0
baseline,baseline_77,1593366487,standard,12,fixed,5,1,0,2,1022.5,1935.0,-912.5,309.5,0.0,61,127,10,0,0,0,0,1,0,0,4,0,1,1,0,37,0,0,84,389.5,1.19,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_78,1593376460,standard,12,fixed,5,1,0,2,1084.1,2072.8,-988.7,309.1,137.8,61,127,8,0,0,0,10,3,0,0,0,0,1,1,0,39,0,0,84,526.8,1.61,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_79,1593386433,standard,12,fixed,5,1,0,2,-1635.0,-633.3,-1001.7,390.0,146.7,39,173,111,147,50,0,6,7,0,0,10,0,8,5,4,63,1,0,84,1006.7,3.07,3,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_80,1593396406,standard,12,fixed,5,1,0,1,-3165.0,-3295.0,130.0,460.0,310.0,32,32,167,167,0,0,2,0,0,0,0,0,2,1,0,82,5,0,84,930.0,2.84,3,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_81,1593406379,standard,12,fixed,5,1,0,2,-1900.0,25.0,-1925.0,260.0,380.0,35,41,111,47,0,15,0,10,0,0,0,10,5,3,2,70,0,0,84,950.0,2.90,2,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_82,1593416352,standard,12,fixed,5,1,0,1,2451.9,2095.0,356.9,198.9,150.0,159,127,14,0,0,0,21,1,1,0,0,10,7,7,7,16,0,0,84,508.9,1.55,3,2,1,1,0,0,,1,0,0,0,1,0,0,0.0,0.0
baseline,baseline_83,1593426325,standard,12,fixed,5,1,0,2,1109.1,2083.6,-974.5,309.1,148.6,61,127,7,0,0,0,0,0,0,0,0,0,1,1,0,40,0,0,84,537.6,1.64,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
